Rank,School,Tuition,Enrollment,Acceptance,Retention,Graduation
141,Grove City College,14880,2506,84.20,91,82
141,Houghton College,27728,1165,73.40,86,67
141,Wells College 1,35900,N/A,62.7 4,71 8,59 8 
146,Fisk University 1,20391,N/A,100.0 4,73 8,54 6 
146,Georgetown College,32310,1543,82.20,76,60
146,Nebraska Wesleyan University,27240,2071,79.00,80,65
146,St. Vincent College,30351,1766,65.80,83,73
146,University of North Carolina Asheville,6241,3751,63.80,81,55
146,Wartburg College,34250,1747,70.40,80,65
146,Westminster College,21680,1084,71.90,81,70
146,William Jewell College,31000,1052,60.90,76,69
154,Simpson College,30999,1897,88.70,81,67
154,University of Minnesota-Morris,12584,1896,60.00,82,60
156,Doane College,26180,1149,76.50,76,64
156,Hiram College,30290,1324,61.90,76,63
156,Illinois College,27800,987,58.10,81,62
156,Purchase College-SUNY,7573,4267,33.40,82,63
156,Salem College,24566,1165,73.20,79 8,62
161,Hartwick College,38930,1558,84.70,75,58
161,Lycoming College,33756,1365,71.60,81,65
161,Wesleyan College,19750,709,50.20,81,48
161,Xavier University of Louisiana,20560,3178,63.50,67,47
165,Monmouth College,31500,1247,61.50,75,58
165,Oglethorpe University,31280,1079,82.70,77,55
167,American Jewish University 1,28496,N/A,94.9 4,90 8,42 6 
167,Carthage College,34850,3047,70.10,75,60
167,Centenary College of Louisiana,30740,776,64.10,N/A,56
167,College of Idaho,23725,1059,64.90,81,64
167,Lyon College,23594,600,68.60,65,49
167,Warren Wilson College,29540,924,72.00,68,57
173,Emory and Henry College,28966,945,72.30,73,46
173,Guilford College,32470,2462,80.00,76,57
173,Ouachita Baptist University,22340,1532,69.10,78,59
176,Albright College,36660,2264,46.70,74,53
176,Maryville College,31132,1093,65.70,73,53
176,Massachusetts College of Liberal Arts,8525,1799,67.20,74,47
176,Virginia Wesleyan College,32182,1431,85.80,66,48
180,Eastern Mennonite University,27970,1519,70.20,78,59
180,Northland College,29990,600,66.30,71,54
