Rank,School,Babcock,PubPriv,Tuition,Enrollment,Acceptance,Retention,Graduation,Type
14,Hamilton College,Class 1,Private,46080,1884,27.2,95,91,College
97,Hampden-Sydney College,Class 3,Private,37352,1080,55.6,79,68,College
110,Hampshire College,None,Private,46625,1461,63.7,83,64,College
115,Hanover College,Class 2,Private,31760,1123,63.9,81,65,College
161,Hartwick College,None,Private,38930,1558,84.7,75,58,College
2,Harvard University,Class 1,Private,42292,19726,6.1,98,97,University
16,Harvey Mudd College,None,Private,46509,783,19.2,98,88,College
9,Haverford College,Class 1,Private,45426,1205,22.9,96,93,College
82,Hendrix College,Class 3,Private,37816,1388,83,85,72,College
82,Hillsdale College,Class 2,Private,22890,1447,49,96,77,College
156,Hiram College,Class 3,Private,30290,1324,61.9,76,63,College
61,Hobart and William Smith Colleges,Class 2,Private,46165,2300,53.1,88,76,College
135,Hofstra University,None,Private,37400,11023,58.7,78,61,University
110,Hollins University,None,Private,33320,794,66,72,56,College
100,Hope College,Class 2,Private,28720,3343,85.1,89,77,College
141,Houghton College,None,Private,27728,1165,73.4,86,67,College
142,Howard University,Class 4,Private,22683,NA,53.9,82,65,University
156,Illinois College,Class 2,Private,27800,987,58.1,81,62,College
109,Illinois Institute of Technology,None,Private,39842,7683,55,93,68,University
152,Illinois State University,None,Public,12573,20706,74,84,71,University
65,Illinois Wesleyan University,Class 3,Private,39316,2013,59.5,91,82,College
190,Immaculata University,None,Private,30740,4117,79.6,80,53,University
75,Indiana University at Bloomington,Class 1,Public,10209,42133,74.4,89,75,University
177,Indiana University of Pennsylvania,None,Public,9080,15379,61,75,50,University
101,Iowa State University,Class 2,Public,7726,30748,82.5,86,71,University
12,Johns Hopkins University,Class 1,Private,45470,21001,17.7,97,94,University
100,Juniata College,None,Private,37170,1565,66.4,86,75,College
61,Kalamazoo College,Class 2,Private,37810,1379,69,91,80,College
135,Kansas State University,None,Public,8585,24378,99,81,58,University
201,Kent State University,None,Public,9816,28172,83,77,52,University
32,Kenyon College,Class 2,Private,45640,1667,36,93,90,College
82,Knox College,Class 1,Private,38952,1430,77.6,89,79,College
36,Lafayette College,Class 1,Private,43970,2488,34.5,95,91,College
110,Lake Forest College,Class 1,Private,38300,1570,56.9,84,70,College
59,Lawrence University,Class 2,Private,41226,1525,76.2,89,73,College
41,Lehigh University,Class 1,Private,43520,7080,32.6,94,88,University
74,Lewis & Clark College,None,Private,41928,3703,64,86,76,College
123,Linfield College,None,Private,36240,1663,82.8,83,67,College
135,Louisiana State University at Baton Rouge Baton,None,Public,7873,30225,76.2,84,67,University
190,Louisiana Tech University,None,Public,7146,11304,70.8,76,47,University
101,Loyola University Chicago,None,Private,35503,15720,81.2,86,70,University
94,Luther College,Class 2,Private,37450,2473,70.2,88,77,College
161,Lycoming College,None,Private,33756,1365,71.6,81,65,College
167,Lyon College,None,Private,23594,600,68.6,65,49,College
24,Macalester College,Class 2,Private,45388,2070,36.7,95,90,College
75,Marquette University,Class 3,Private,34640,11749,55.2,89,80,University
176,Maryville College,None,Private,31132,1093,65.7,73,53,College
161,Maryville University of St. Louis St,None,Private,25002,4203,71.3,84,70,University
176,Massachusetts College of Liberal Arts,None,Public,8525,1799,67.2,74,47,College
7,Massachusetts Institute of Technology,Class 1,Private,43498,11189,9,97,93,University
126,McDaniel College,None,Private,36960,3284,64.1,82,74,College
75,Miami University at Oxford,Class 2,Public,13799,17683,72.8,89,80,University
73,Michigan State University,None,Public,12863,48906,70.6,91,79,University
117,Michigan Technological University,None,Public,13728,6947,76.6,83,66,University
4,Middlebury College,Class 2,Private,45314,2516,17.2,96,94,College
82,Millsaps College,Class 3,Private,32520,915,54.8,81,72,College
142,Mississippi State University,None,Public,6722,20365,69.3,82,60,University
128,Missouri University of Science & Technology,None,Public,9510,7647,89.6,85,65,University
165,Monmouth College,Class 2,Private,31500,1247,61.5,75,58,College
201,Montana State University,None,Public,6821,14660,57.6,74,49,University
138,Moravian College,None,Private,35518,1909,78.5,78,74,College
126,Morehouse College,None,Private,25460,2377,66.4,83,56,College
38,Mount Holyoke College,Class 1,Private,41456,2344,42.1,91,81,College
65,Muhlenberg College,Class 2,Private,42755,2422,45.7,92,87,College
146,Nebraska Wesleyan University,Class 3,Private,27240,2071,79,80,65,College
89,New College of Florida,None,Public,6783,832,59.6,84,69,College
150,New Jersey Institute of Technology,None,Public,15140,9944,63.7,82,54,University
190,New Mexico State University Las Cruces,None,Public,6220,17651,80.1,72,44,University
135,New School,None,Private,40928,10575,65,81,65,University
32,New York University,Class 2,Private,44848,44516,35,92,85,University
101,North Carolina State University at Raleigh,None,Public,8206,34340,49.6,91,71,University
190,North Dakota State University,None,Public,7233,14443,83.6,78,53,University
49,Northeastern University,None,Private,41686,20447,31.9,94,79,University
177,Northern Illinois University,None,Public,12952,21869,51.8,72,54,University
180,Northland College,None,Private,29990,600,66.3,71,54,College
12,Northwestern University,Class 1,Private,45527,20439,15.3,97,93,University
25,Oberlin College,Class 1,Private,46870,2944,31.3,94,85,College
41,Occidental College,Class 2,Private,46270,2178,39.4,92,84,College
165,Oglethorpe University,None,Private,31280,1079,82.7,77,55,College
52,Ohio State University,Class 1,Public,10037,56387,64,93,82,University
135,Ohio University,Class 2,Public,10380,27402,77.7,81,64,University
100,Ohio Wesleyan University,None,Private,40510,1821,73.6,83,68,College
142,Oklahoma State University,None,Public,7441,25544,77.6,79,62,University
142,Oregon State University,None,Public,8538,26393,78.8,83,60,University
173,Ouachita Baptist University,None,Private,22340,1532,69.1,78,59,College
173,Pace University,None,Private,38069,12772,76.8,78,58,University
37,Pennsylvania State University,Class 2,Public,16992,45783,54.2,92,86,University
57,Pepperdine University,None,Private,44902,7319,38.5,91,81,University
35,Pitzer College,None,Private,43402,1084,15.7,92,87,College
128,Polytechnic Institute of New York University,None,Private,41328,4652,62.1,86,62,University
4,Pomona College,Class 2,Private,43580,1607,13,98,96,College
126,Presbyterian College,None,Private,33650,1403,57.8,83,68,College
1,Princeton University,Class 1,Private,40170,8010,7.9,98,96,University
107,Principia College,None,Private,25980,489,86.7,84,76,College
156,Purchase College-SUNY,None,Public,7573,4267,33.4,82,63,College
68,Purdue University,Class 1,Public,9992,39256,61.3,89,70,University
134,Randolph College,None,Private,33260,645,83.2,76,57,College
134,Randolph-Macon College,Class 2,Private,34850,1312,54,78,56,College
74,Reed College,None,Private,44460,NA,39.9,90,79,College
41,Rensselaer Polytechnic Institute,Class 1,Private,46269,6999,43.6,92,84,University
54,Rhodes College,None,Private,39794,1927,54.6,90,81,College
18,Rice University,None,Private,38941,6484,16.7,96,92,University
120,Ripon College,None,Private,31602,931,77.5,84,72,College
126,Roanoke College,Class 2,Private,36222,2060,69.4,79,65,College
142,Rutgers,None,Public,12998,12011,57.5,86,61,University
69,Rutgers New Jersey at New Brunswick,Class 2,Public,13499,40434,60.9,92,79,University
156,Salem College,None,Private,24566,1165,73.2,79,62,College
152,San Diego State University,None,Public,6578,31597,31.3,86,67,University
25,Scripps College,None,Private,45564,962,32.4,92,90,College
128,Seton Hall University,None,Private,35820,9830,84.4,82,67,University
38,Sewanee-University of the South,Class 2,Private,35756,1557,58.8,88,78,College
126,Siena College,None,Private,31368,3267,57.5,88,73,College
154,Simpson College,None,Private,30999,1897,88.7,81,67,College
45,Skidmore College,None,Private,45724,2689,41.9,94,88,College
