Rank,School,Location,PubPriv,Tuition,Enrollment,Acceptance,Retention,Graduation,Type
86,SUNY College of Environmental Science and Forestry,Syracuse NY,Public,6995,2401,50.7,85,67,University 
86,University of Alabama,Tuscaloosa AL,Public,9200,33503,53.1,85,67,University 
86,University of California at Santa Cruz,Santa Cruz CA,Public,13416,17404,60.9,90,77,University 
86,University of Colorado at Boulder,Boulder CO,Public,10240,31725,83.6,84,68,University 
86,University of Tulsa,Tulsa OK,Private,33702,4326,40.7,87,66,University 
91,Auburn University Auburn,University AL,Public,9852,25134,77.2,88,68,University 
91,Colorado School of Mines,Golden CO,Public,16485,5632,37.4,89,66,University 
91,Florida State University,Tallahassee FL,Public,6537,40695,53.7,92,75,University 
91,University of Denver,Denver CO,Private,40707,11656,67.6,87,76,University 
91,University of Massachusetts at Amherst,Amherst MA,Public,13258,28236,62.6,88,70,University 
91,University of San Diego,San Diego CA,Private,41392,8105,42.6,88,76,University 
97,Binghamton University at SUNY,Binghampton NY,Public,8144,15308,42.9,91,79,University 
97,Drexel University,Philadelphia PA,Private,37505,18067,74.9,84,65,University 
97,University of Missouri,Columbia MO,Public,9415,34748,81.5,85,71,University 
97,University of New Hampshire,Durham NH,Public,16496,15301,77.9,87,77,University 
101,Iowa State University,Ames IA,Public,7726,30748,82.5,86,71,University 
101,Loyola University Chicago,Chicago IL,Private,35503,15720,81.2,86,70,University 
101,North Carolina State University at Raleigh,Raleigh NC,Public,8206,34340,49.6,91,71,University 
101,St. Louis University St.,Louis MO,Private,36726,13981,63.7,86,70,University 
101,University of Kansas,Lawrence KS,Public,10107,27135,92.3,79,64,University 
101,University of Nebraska at Lincoln,Lincoln NE,Public,8068,24207,64.4,84,65,University 
101,University of Oklahoma,Norman OK,Public,7341,31086,79.1,84,66,University 
101,University of Tennessee,Knoxville TN,Public,9684,29833,67.3,85,66,University 
109,Illinois Institute of Technology,Chicago IL,Private,39842,7683,55,93,68,University 
